,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,medial_axis_mean,medial_axis_std,voronoi_approx_mean,voronoi_approx_std,std_filter_mean,std_filter_std,entropy_filter_mean,entropy_filter_std
NegsiRNA_A1b_NS,0.7310136159261068,0.21241209242078996,2,1.7071067811865477,0.414213562373095,1.7071067811865477,0.414213562373095,1.0,0.0,255,18.069167424174605,20.901060630483318,16.63023716192696,18.700903438103712,0.933672054434216,0.05245402649151968,561,64.06464136937636,50.93660332883602,58.5493049299114,45.990678088029526,0.9254780012662835,0.04445705126688911,1455,5,3.1463917525773195,0.36119176228369604,7.526386120122532,5.548846625320752,7.756381384063038,5.003741618199502,1156.3095658958005,942.4567369632457,3.4865501118396978,0.6801605864517779
NegsiRNA_A2b_CA,0.6171694861518012,0.2849193149142795,3,1.1380711874576983,0.23914631173810036,1.1380711874576983,0.23914631173810036,1.0,0.0,304,19.320612814405237,18.85037556576167,17.95345227292437,17.124820755640403,0.9412775037526316,0.034167532220240084,635,59.019883198335506,43.62373998793488,54.44991908730599,39.68662002103215,0.9332970535735504,0.03409666244041148,1619,5,3.1204447189623226,0.32925438423535197,10.396729366563774,9.848136422769821,10.77463758792094,9.861628268075787,1687.4674303833215,1114.3650755400552,3.944194963090684,0.5613183119178748
NegsiRNA_F1_NS,0.6482132805718316,0.2911618550618489,2,84.86143571373724,89.0416305603426,77.98800722683283,83.08875650516707,0.9016877018224636,0.03300690419775077,230,18.296657782171827,15.019341896443287,17.05988504511194,13.509375974869034,0.9440449572055072,0.03120253645530612,696,61.9476586416524,40.33816540486633,57.200663869496616,36.550402820862324,0.932686699914374,0.033110886245995515,1618,6,3.1452410383189124,0.3711375923852137,8.719024113277795,4.747697137004902,9.222827491589845,4.540567346261868,1541.0127515167776,992.3809329775818,3.8514749842606912,0.5684549676370849
NegsiRNA_C3c_NS,0.7846455044216579,0.16623221503363714,1,2.0,0.0,2.0,0.0,1.0,0.0,261,23.566354028045478,34.52096110581303,21.72754072494128,31.50023982220089,0.9344858364258042,0.05267675617394245,458,62.328368632486466,52.35232130533628,57.014384137272046,47.35143048687217,0.9259205340247436,0.036953308206464884,1303,6,3.1864927091327706,0.4394951681472928,6.679547979480362,4.62287184856374,6.900182956770414,4.431959135563417,921.8711860252139,665.139991471739,3.312428707829698,0.6312695962598657
NegsiRNA_F3_CA,0.6162223815917969,0.3232349819607205,0,0.0,0.0,0.0,0.0,0.0,0.0,291,20.320943958142344,17.97881818742353,18.93122142169697,16.272904006642168,0.9420848516541368,0.032060220306075984,673,58.13592455822185,40.044260852939175,53.701609110294754,36.46927054401297,0.9324527718540389,0.03239341340482052,1657,5,3.127942063971032,0.34469536674992624,10.626167991263447,6.658288616695489,11.49462050611307,6.4669930430722085,1856.848814683545,1280.577938534298,4.010809123563148,0.5637648397044549
NegsiRNA_G1_CA,0.5768413543701172,0.3794708251953125,1,1.0,0.0,1.0,0.0,1.0,0.0,245,19.34397481586224,15.52577449487726,18.137587357440964,14.319515782281925,0.9445493954206132,0.050274707891191386,778,59.19538475556831,37.89277207447356,54.60058450479863,34.10283248975629,0.9332568450332882,0.03572660000504643,1846,5,3.1321776814734563,0.34658889204204474,11.32176804113342,7.051678032604529,12.014746547398108,6.635137204393578,1554.1696231342767,1056.5764937616254,3.8444970324607497,0.5790641007263679
NegsiRNA_G3_CA,0.6186635759141711,0.3090201483832465,3,2.60947570824873,1.9856507854056469,2.4142135623730954,1.6605298289644526,0.9595598854801192,0.07004433301233755,244,22.002145017312465,22.66695275239548,20.548093268681072,20.51342484320015,0.9470536287576148,0.03292750320519012,583,62.8155426542748,42.64043131387936,57.97137157161493,38.85749721039778,0.9321511931629352,0.03168841649480232,1416,5,3.121468926553672,0.3309668944058198,10.395950312624738,5.648631130398584,11.307328326706582,5.353213850087836,1577.1667407789334,1059.8866358299024,3.8646536822753057,0.5706562118948909
NegsiRNA_H1_NS,0.6502513885498047,0.2938232421875,7,2.0693259106055097,0.7833779610729759,2.01842717207028,0.7617591764394886,0.9789170521910256,0.03600598803330935,337,18.385281864424133,18.87634890689432,16.987914896239385,16.578208416586527,0.9374302157923632,0.05821078817112106,781,54.19119650064054,37.560004478360774,49.744307805723466,33.67432570277102,0.9298871711957412,0.03932828314431962,1945,5,3.1275064267352186,0.3381321794525318,8.933487886386667,5.95623251634829,9.437439267087411,5.728560684688704,1774.9573481232765,1052.6754537026768,4.030218475913573,0.5097010490809782
NegsiRNA_L1_NS,0.6740476820203993,0.2518357170952691,2,18.207106781186546,24.33452377915607,18.007141400011598,24.05173002509335,0.9943535275512256,0.00798531791662265,392,13.883744290072027,13.628865990105202,12.85360317198506,11.957199693011649,0.9411344794271378,0.0487124872905969,1034,48.74808824729811,32.74250477111605,44.89782225735368,29.541713880911217,0.9317613233872424,0.03565472495480638,2556,6,3.143192488262911,0.35909355393219633,6.1965185434366905,3.1914311989413684,6.594482214595661,2.9995736833205937,762.6561233106911,470.6789854009012,3.152497463878356,0.5655194618708019
NegsiRNA_G2_CA,0.6427184210883247,0.3001073201497396,2,5.742640687119286,0.12132034355964212,5.328427124746191,0.4644660940672626,0.9289321881345248,0.10050506338833463,325,21.83684808409437,18.939140414925,20.300449407755803,16.583494342115582,0.9408519276051251,0.05147229444354655,575,58.3479110579446,45.36896098217469,53.570558725859286,40.49509787840063,0.9292324811873404,0.0439118348753776,1543,5,3.1412832145171743,0.35385137650260834,11.077402902131341,7.975834659041317,12.221698516261537,7.899698964436974,1753.7174617012472,1140.8940207121875,3.9619768466416607,0.5713276697669861
NegsiRNA_C2_CA,0.6598739624023438,0.2501949734157986,6,9.230796051808372,17.82770527390307,8.713066279721406,16.561973650692064,0.9886353981094498,0.027837475761717162,300,15.699139774790998,15.584629489380053,14.559870597626979,13.326065664061199,0.9437402805953841,0.044017702456453714,722,58.208316042243474,47.491418714334344,53.472033827650215,43.02915467136518,0.9302113317985544,0.036656564405143685,1800,5,3.136111111111111,0.3509137103317074,8.057215676105717,6.204415382849449,8.388013183027173,6.144882532629348,1401.373015034032,987.4713786557288,3.758085015934813,0.5932121822784567
NegsiRNA_H2_NO,0.5976007249620225,0.29606077406141496,5,20.719595949289328,30.25796890022105,17.840301326108612,25.51773032113277,0.909118328812086,0.05845529311064063,394,17.354556723263705,15.541774536529644,16.121810222224624,13.8385483875702,0.938305079178515,0.06276564581099411,804,52.36550633227228,38.486755859072105,47.83414331921979,34.06347763316713,0.9275173372118578,0.03943891297106826,1991,5,3.128578603716725,0.33772057542598205,8.724085370405232,5.468506230343343,9.501743902082676,5.338710858531115,1654.4567572446847,1006.5070956099072,3.940304196091712,0.5354896933638703
NegsiRNA_D3_CA,0.6106904347737631,0.2815356784396701,7,11.183467321065983,20.28112554089874,10.1157180508301,17.896488194674628,0.9597369800277714,0.05155489463051802,342,17.96105888305589,13.999455864736008,16.81850021188146,12.823730938033952,0.940180796717494,0.0608390856967691,713,53.668016383711965,38.96952515657296,48.98053856499713,34.90545982051824,0.926236305395903,0.04460547610153172,1842,5,3.1357220412595006,0.35187530000883976,9.538110153363382,6.747347096465073,10.12359663222404,6.6278211229374975,2057.791366055606,1350.204587958854,4.082870843121218,0.5810769479434061
NegsiRNA_E1_CA,0.627680672539605,0.2803531222873264,1,37.31370849898476,0.0,34.058772731852805,0.0,0.9127683658883566,0.0,328,20.934607937489094,19.28022600509513,19.40036176536136,17.342249988211115,0.9387656657505252,0.04233927681496465,626,56.8765676648376,41.28776950833291,52.156576087455925,36.89324265426261,0.9299825965635414,0.036702379017223626,1636,5,3.1265281173594133,0.3342772004855047,9.571602406014039,5.766627398019668,10.360478000194396,5.46647521756603,2191.6224033023864,1354.7188624525536,4.148935850163899,0.553459231498342
NegsiRNA_I3_CA,0.5887510511610243,0.2864210340711806,1,2.0,0.0,2.0,0.0,1.0,0.0,333,19.26213707906291,16.82395348995855,18.06556260201701,15.438584493276005,0.94140833075713,0.05558902619105685,609,56.52303814016588,40.36115102236832,52.20759691688386,36.936178993862384,0.9312537166052932,0.030788537500896426,1548,5,3.1208010335917318,0.3278721298600773,10.093601744885602,5.93199968936583,11.13039741007082,5.641982117767956,1257.9144362815855,864.3166600596719,3.6437011023336385,0.5963534271037841
NegsiRNA_B2_NS,0.6087608660059599,0.3201489679634084,1,2.8284271247461903,0.0,2.8284271247461903,0.0,1.0,0.0,345,19.344583764215862,14.936527589092007,18.065387264024697,13.235018697981527,0.9432252191157754,0.045974690170594135,630,54.66396681553025,40.20881467407133,50.333097541254546,36.28716339147967,0.9340355124402252,0.03602237603644354,1630,5,3.133742331288344,0.345740222862476,11.041644230899422,6.906607031505463,12.006806851321034,6.4512765351842045,1639.5973818540967,1058.5765798124057,3.8986076486157537,0.5687666562306568
NegsiRNA_L3_NO,0.6904559665256076,0.25586191813151044,1,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,431,17.540464450289527,15.874581281654375,16.315076484960453,13.992340035445366,0.9406525847289684,0.0520729613225389,703,49.561300270051106,39.3023306439704,45.37035690599775,35.43804117287856,0.928325057708032,0.03898374563539785,1866,5,3.1178992497320466,0.3274361780992883,8.764692113551114,5.714368592252265,9.6083963528183,5.57142592061633,1425.9221823370729,814.8599602151189,3.784365514657459,0.5548443277115116
NegsiRNA_A1_NS,0.7009209240271506,0.21727817290982315,0,0.0,0.0,0.0,0.0,0.0,0.0,173,23.30773341681025,22.645612765412512,21.60418018599782,20.621565119358934,0.9379269868981324,0.034988647977592824,408,73.98705414753373,54.505582240219056,67.91602396486766,49.44478607065611,0.9285788423905652,0.0346252617885615,998,5,3.1332665330661325,0.3485951638774725,8.730324044005195,6.0823037767504635,8.871192852374072,5.716354861974892,1838.6708549460247,1323.9819553204215,3.9618202626749284,0.5995966667877594
NegsiRNA_C1_NS,0.6236822340223525,0.26746198866102433,6,5.190355937288492,8.886959383739288,4.638071187457698,7.535645612161554,0.9763107293781748,0.05802662540217545,271,17.205096805104052,16.3092918118695,16.109219684652427,14.84667153978268,0.9407249444112696,0.056617375116013675,702,59.78256055207052,40.974794380845815,54.97142117965792,37.09702911957435,0.929982991610245,0.035371038295131406,1731,5,3.1403812824956674,0.3572209218854218,8.341124035324762,5.483749829340531,8.663292984066613,5.267100610871203,1547.2805479097296,1101.485470332478,3.8428134050918867,0.5905607317015832
