,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,texture_std_filter_mean,texture_std_filter_std,texture_entropy_filter_mean,texture_entropy_filter_std
GNA12_E1_NS,0.6615886688232422,0.2640520731608073,1,58.0416305603426,,51.0098029794274,,0.8788485520990902,,174,22.750224839228707,26.258598443806015,20.79399088413455,22.278336194405018,0.9378076895468502,0.03563913745469233,497,72.10513710495735,49.61924460821019,65.92725898578136,44.56311706093353,0.9250576124634564,0.04091101026905982,1213,5,3.1228359439406432,0.33569880647213063,9.687430381774902,6.65850305557251,10.053537368774414,6.316006660461426,1749.4576416015625,1143.6390380859375,3.9686946868896484,0.5562686920166016
ACTN4_L3_NO,0.6431838141547309,0.26414744059244794,2,5.328427124746191,0.7071067811865476,4.621320343559642,0.5355339059327379,0.8682720163547033,0.01471862576142966,508,16.18758497212603,13.970790837070977,15.052341095097072,12.579300152866134,0.9400680161479869,0.035156080752313426,826,47.255238655498964,39.14994187882888,43.360853910024055,35.325742155003915,0.931570932931919,0.03882988090333218,2192,5,3.1181569343065694,0.32978465242861565,7.979354381561279,5.130908489227295,8.927848815917969,5.022501468658447,1315.7294921875,830.5401611328125,3.679391622543335,0.5852214694023132
NegsiRNA_H1_CA,0.622810787624783,0.31785880194769967,1,1.0,,1.0,,1.0,,290,19.56522805775157,17.862114960458424,18.120273044038832,15.396741880523427,0.9437420918257196,0.03776292032529423,687,58.941502352283024,42.29767597825098,54.30408638677039,38.232718134510336,0.9326091701603577,0.032884445373677504,1629,5,3.1135666052793125,0.31921306133795024,10.675647735595703,8.22616958618164,11.194595336914062,7.960859775543213,1857.949462890625,1170.9322509765625,4.053713321685791,0.5358816981315613
MYO7A_D1_CA,0.6288712819417318,0.2893231709798177,4,18.181980515339465,6.779921834690853,16.894236031494245,6.790659164093129,0.9281647867728332,0.07491971942833578,254,20.48646209276213,19.74654390533113,19.01587625984572,17.81454546829055,0.9411283203654924,0.04485052830188999,669,61.20231836596536,42.42637597517527,56.0681354519023,38.105648835246754,0.9272570977149163,0.037102117918835005,1626,5,3.1297662976629765,0.3396866648163663,8.736026763916016,5.068644046783447,9.366873741149902,4.826958656311035,921.6715087890625,583.4498901367188,3.3354527950286865,0.5946283936500549
ACTB_B2_NS,0.5290368398030599,0.3934220208062066,2,6.621320343559643,4.535533905932737,5.914213562373095,4.363961030678928,0.8720691218521717,0.06171910419632662,348,22.270650363330194,16.129513126079186,20.80908776623563,14.708323526456615,0.9414048125278331,0.03728701049305665,704,53.959470869116416,37.06819842542491,49.85905054992065,33.70678239610166,0.9341277580919443,0.03703964969880986,1796,5,3.13195991091314,0.34008833936352306,13.342543601989746,8.466753959655762,14.887825012207031,8.152078628540039,2073.008056640625,1432.76171875,4.099480152130127,0.5625133514404297
NegsiRNA_H3_NO,0.6158489651150174,0.33132383558485246,1,2.0,,2.0,,1.0,,376,19.68101650986966,17.435064564805185,18.243286631089727,14.774420081041344,0.9453406142998138,0.036355170335773485,729,52.99478770045638,37.88870669866349,49.08132953183781,34.58533605921857,0.9349719997186978,0.03408292706901725,1850,5,3.1394594594594594,0.35869090771217427,10.4727783203125,5.901240348815918,11.364080429077148,5.113643646240234,2089.6650390625,1365.61669921875,4.108348369598389,0.5474122166633606
GNB2L1_E3_NS,0.6653575897216797,0.25238079494900173,0,,,,,,,241,20.662046341713914,21.52045860072204,18.97256972568818,18.872249686705413,0.9313456330385523,0.06542573939557993,547,65.85907031638045,44.64596473344557,60.0173922995523,39.764556360425296,0.9235638421022021,0.046840645022871566,1391,5,3.1380301941049606,0.3511286134539415,8.612083435058594,5.669648170471191,9.064268112182617,5.562930107116699,1147.7919921875,796.8130493164062,3.534525156021118,0.6121600270271301
ADD3_A1_NS,0.6942886776394315,0.24614418877495658,2,19.414213562373096,26.041630560342618,19.0,25.45584412271571,0.989050203937712,0.015485350096507228,182,23.287270805182718,23.868543147657917,21.568490204434354,21.505321961273395,0.9407883897668348,0.058468447255446594,445,73.08757049597574,47.85946255170807,67.27907085538006,43.530242955929516,0.9306043913360953,0.03533898138066295,1095,4,3.1187214611872145,0.3234604702908646,9.459083557128906,5.974369525909424,10.013091087341309,5.852107524871826,2053.998779296875,1451.0640869140625,4.063193321228027,0.5669565796852112
NegsiRNA_A2_CA,0.7419800228542752,0.2609659830729167,2,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,323,21.199933064669573,20.848368411544033,19.752009719293078,19.131524216581802,0.9419875788683479,0.03898398281755691,564,57.59156013601946,45.43626619382819,53.17256904911924,41.55621244858835,0.9327211210746794,0.03339065599409168,1430,5,3.1216783216783215,0.3311644765204616,11.464640617370605,12.75216293334961,11.244351387023926,11.447408676147461,1577.5439453125,1110.47802734375,3.8687961101531982,0.5643876791000366
FBLMI1_C3_NS,0.6233880784776475,0.2993910047743056,3,1.6094757082487303,0.7270457201641233,1.5500938466242948,0.6291371869363989,0.9754032275561966,0.0426028595748777,263,21.777137986256548,19.91101615775267,20.254709568781973,17.960157413035695,0.9422930474956274,0.03985722615785323,633,59.86677256667743,38.20901491717731,55.34112806461021,34.81974455277821,0.9313495941539992,0.03415824574256027,1561,5,3.1300448430493275,0.34201881788572364,9.778093338012695,5.896214962005615,10.430590629577637,5.567899227142334,1436.497314453125,844.8327026367188,3.810093879699707,0.5375910401344299
